Александр 	168801
2 	Сергей 	133020
3 	Владимир 	95304
4 	Елена 	93094
5 	Татьяна 	88683
6 	Андрей 	82615
7 	Алексей 	79834
8 	Ольга 	79359
9 	Николай 	78287
10 	Наталья 	74615
11 	Анна 	71563
12 	Иван 	70921
13 	Дмитрий 	70673
14 	Ирина 	64046
15 	Мария 	62612
16 	Светлана 	54601
17 	Михаил 	54335
18 	Екатерина 	53674
19 	Евгений 	52447
20 	Виктор 	51630
21 	Анастасия 	49982
22 	Юрий 	46838
23 	Юлия 	45650
24 	Валентина 	42544
25 	Людмила 	40261
26 	Галина 	40208
27 	Василий 	39903
28 	Игорь 	39685
29 	Анатолий 	36082
30 	Олег 	35967
31 	Надежда 	35247
32 	Марина 	34592
33 	Павел 	33313
34 	Максим 	31638
35 	Александра 	27842
36 	Нина 	27770
37 	Виталий 	26931
38 	Валерий 	26185
39 	Любовь 	25530
40 	Виктория 	25357
41 	Роман 	24832
42 	Оксана 	24452
43 	Денис 	23516
44 	Дарья 	20909
45 	Константин 	20220
46 	Вячеслав 	20083
47 	Вера 	19763
48 	Евгения 	18105
49 	Петр 	17843
50 	Антон 	17426
51 	Илья 	16307
52 	Лариса 	15782
53 	Владислав 	15371
54 	Лидия 	15200
55 	Наталия 	14797
56 	Вадим 	14761
57 	Ксения 	14608
58 	ГЕННАДИЙ 	13747
59 	Григорий 	13711
60 	Никита 	13434
61 	Тамара 	13274
62 	Алина 	12497
63 	Леонид 	12334
64 	РУСЛАН 	11879
65 	Борис 	11774
66 	Кристина 	11607
67 	Елизавета 	11082
68 	Кирилл 	10985
69 	Артем 	10794
70 	Станислав 	9843
71 	Валерия 	9824
72 	Инна 	9739
73 	Полина 	9710
74 	Алла 	9534
75 	Раиса 	9443
76 	Яна 	9275
77 	Антонина 	8980
78 	ВАЛЕНТИН 	8824
79 	Федор 	8452
80 	Егор 	8242
81 	Георгий 	8183
82 	Артём 	8125
83 	Алена 	8030
84 	Зинаида 	7971
85 	Олеся 	7656
86 	Степан 	7554
87 	Маргарита 	7406
88 	Лилия 	7295
89 	Эдуард 	6904
90 	Диана 	6863
91 	Зоя 	6560
92 	Евдокия 	6455
93 	Алёна 	6424
94 	ДАНИИЛ 	6290
95 	Вероника 	6217
96 	Пётр 	5892
97 	Артур 	5844
98 	Клавдия 	5379
99 	Софья 	5179
100 	Ярослав
